round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
3,m1818,0.5435897435897435,0.6515151515146556,0.9947510109649554,0.8361961841583252,17025,adasyn,0.01
3,m741,0.5398773006134969,0.6605504587150984,0.9940611247140787,0.8069936633110046,17084,adasyn,0.01
3,m2310,0.5134099616858238,0.5681818181813327,0.9928043925759518,0.8573556542396545,20860,adasyn,0.01
3,m544,0.5482233502538071,0.6618705035966223,0.9928785182190626,0.7959285974502563,17707,adasyn,0.01
4,m1818,0.542713567839196,0.6428571428566432,0.9949959692483139,0.7968420386314392,17025,adasyn,0.01
4,m2310,0.5114503816793893,0.5683060109284696,0.9928235696368193,0.8368057012557983,20860,adasyn,0.01
4,m741,0.5432098765432098,0.6548672566366729,0.9951017805114178,0.8034042119979858,17084,adasyn,0.01
4,m544,0.5380710659898477,0.6715328467148284,0.9932540249888663,0.8173762559890747,17707,adasyn,0.01
5,m1818,0.5510204081632653,0.6470588235289135,0.9950115351592966,0.8152282238006592,17025,adasyn,0.01
5,m741,0.5398773006134969,0.6607142857137897,0.995040768611795,0.8076623678207397,17084,adasyn,0.01
5,m2310,0.5134099616858238,0.5714285714280726,0.9930335818399783,0.6838741898536682,20860,adasyn,0.01
5,m544,0.5326633165829145,0.6764705882347941,0.9933107207593618,0.8122542500495911,17707,adasyn,0.01
6,m741,0.55,0.6666666666661681,0.9951720017543799,0.8235175013542175,17084,adasyn,0.01
6,m1818,0.5654450261780105,0.6470588235289135,0.9950279203287521,0.8193026781082153,17025,adasyn,0.01
6,m2310,0.5173745173745173,0.58100558659169,0.993163143934132,0.8478303551673889,20860,adasyn,0.01
6,m544,0.5408163265306123,0.6666666666661666,0.9932803186795308,0.7977200746536255,17707,adasyn,0.01
7,m1818,0.5698924731182796,0.6470588235289135,0.9951442550318855,0.8030717968940735,17025,adasyn,0.01
7,m741,0.546583850931677,0.6666666666661681,0.9947057787478286,0.8148937821388245,17084,adasyn,0.01
7,m2310,0.5296442687747036,0.5842696629208607,0.9930803551591673,0.8295731544494629,20860,adasyn,0.01
